GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
signup-service,io.mosip.signup.controllers,SignUpSettingsController,0,27,0,0,0,8,0,3,0,3
signup-service,io.mosip.signup.controllers,RegistrationController,0,58,0,0,0,14,0,5,0,5
signup-service,io.mosip.signup.exception,GenerateChallengeException,0,4,0,0,0,2,0,1,0,1
signup-service,io.mosip.signup.exception,ChallengeFailedException,0,4,0,0,0,2,0,1,0,1
signup-service,io.mosip.signup.exception,CaptchaException,0,4,0,0,0,2,0,1,0,1
signup-service,io.mosip.signup.exception,InvalidIdentifierException,0,4,0,0,0,2,0,1,0,1
signup-service,io.mosip.signup.exception,InvalidTransactionException,0,4,0,0,0,2,0,1,0,1
signup-service,io.mosip.signup.exception,SignUpException,0,4,0,0,0,2,0,1,0,1
signup-service,io.mosip.signup.util,RegistrationStatus,0,34,0,0,0,4,0,1,0,1
signup-service,io.mosip.signup.util,ErrorConstants,3,0,0,0,1,0,1,0,1,0
signup-service,io.mosip.signup.util,ActionStatus,3,0,0,0,1,0,1,0,1,0
signup-service,io.mosip.signup.util,SignUpConstants,3,0,0,0,1,0,1,0,1,0
signup-service,io.mosip.signup,SignUpServiceApplication,0,8,0,0,0,3,0,2,0,2
signup-service,io.mosip.signup.dto,ApiChallengeRequest,68,7,14,0,1,1,12,2,5,2
signup-service,io.mosip.signup.dto,SettingsResponse,65,10,14,0,0,2,11,3,4,3
signup-service,io.mosip.signup.dto,RestResponseWrapper,242,33,54,0,4,3,35,9,8,9
signup-service,io.mosip.signup.dto,RegistrationStatusResponse,65,10,14,0,0,2,11,3,4,3
signup-service,io.mosip.signup.dto,GenerateChallengeResponse,69,9,14,0,1,2,12,2,5,2
signup-service,io.mosip.signup.dto,RestRequestWrapper,184,11,38,0,4,1,29,3,10,3
signup-service,io.mosip.signup.dto,ReCaptchaError,115,0,22,0,3,0,20,0,9,0
signup-service,io.mosip.signup.dto,ReCaptchaResponse,182,0,34,0,5,0,30,0,13,0
signup-service,io.mosip.signup.dto,ChallengeInfo,56,59,15,7,0,3,13,7,2,7
signup-service,io.mosip.signup.dto,VerifyChallengeRequest,56,59,15,7,0,3,13,7,2,7
signup-service,io.mosip.signup.dto,RegistrationTransaction,297,87,64,2,3,21,42,14,9,14
signup-service,io.mosip.signup.dto,GenerateChallengeRequest,81,74,21,9,0,4,17,9,2,9
signup-service,io.mosip.signup.dto,VerifyChallengeResponse,65,10,14,0,0,2,11,3,4,3
signup-service,io.mosip.signup.config,ExceptionHandlerAdvice,115,128,6,8,19,27,10,9,5,7
signup-service,io.mosip.signup.services,CacheUtilService,0,40,0,0,0,8,0,8,0,8
signup-service,io.mosip.signup.services,GoogleRecaptchaValidatorService,55,4,8,0,12,1,7,1,3,1
signup-service,io.mosip.signup.services,RegistrationService,0,237,0,26,0,62,0,20,0,7
signup-service,io.mosip.signup.services,ChallengeManagerService,0,81,1,7,0,20,1,6,0,3
signup-service,io.mosip.signup.validator,IdentifierValidator,0,15,1,3,0,4,1,3,0,2
signup-service,io.mosip.signup.validator,ChallengeFormatTypeValidator,0,15,1,3,0,4,1,3,0,2
